0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
10254,# doc = hurricane.2.txt,,,,,,,,,,,,,,,,
10255,# speaker = Т,,,,,,,,,,,,,,,,
10256,# sent = 819,,,,,,,,,,,,,,,,
10257,,Когда,КОГДА,CONJ,,,_Когда_ у меня /,а,д,г,о,к,,CONJ,КОГДА,CONJ,А
10258,,у,У,PR,,,Когда _у_ меня / были,у,,,,,,PR,У,PR,У
10259,,меня,Я,SPRO sg 1p - acc,,,Когда у _меня_ / были маленькие,я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
10260,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10261,,были,БЫТЬ,V ipf praet pl indic - -,,,"у меня / _были_ маленькие дети ,",и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
10262,,маленькие,МАЛЕНЬКИЙ,A - nom pl plen - -,,,"меня / были _маленькие_ дети , то",е,и,к,ь,н,е,A,МАЛЕНЬКИЙ,A - nom pl plen - -,Й
10263,,дети,РЕБЕНОК,S m anim nom pl,,,"/ были маленькие _дети_ , то мы",и,т,е,д,,,S,РЕБЕНОК,S m anim nom pl,К
10264,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
10265,,то,ТО,CONJ,,,"маленькие дети , _то_ мы / э",о,т,,,,,CONJ,ТО,CONJ,О
10266,,мы,МЫ,SPRO pl 1p - nom,,,"дети , то _мы_ / э /",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
10267,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10268,,э,Э,INTJ,,,то мы / _э_ / с родителями,э,,,,,,INTJ,Э,INTJ,Э
10269,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10270,,с,С,PR,,,/ э / _с_ родителями и /,с,,,,,,PR,С,PR,С
10271,,родителями,РОДИТЕЛЬ,S m anim ins pl,,,э / с _родителями_ и / и,и,м,я,л,е,т,S,РОДИТЕЛЬ,S m anim ins pl,Ь
10272,,и,И,CONJ,,,/ с родителями _и_ / и этими,и,,,,,,CONJ,И,CONJ,И
10273,,/,/,PUNCT,,,,,,,,,,PUNCT,,,
10274,,и,И,CONJ,,,родителями и / _и_ этими маленькими детьми,и,,,,,,CONJ,И,CONJ,И
